StartTime: 2021-08-10 14:21:50.859
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3
0x50	 14:21:50.859	-0.0317	-0.0068	0.9624	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7660	67.11	-681	115	-293	0.76163	0.00775	0.01447	-0.64780
0x50	 14:21:50.943	-0.0322	-0.0063	0.9634	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7605	67.12	-682	114	-294	0.76163	0.00775	0.01450	-0.64777
0x50	 14:21:51.044	-0.0317	-0.0059	0.9624	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7605	67.13	-681	114	-297	0.76166	0.00775	0.01450	-0.64774
0x50	 14:21:51.059	-0.0317	-0.0049	0.9629	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7605	67.12	-680	115	-297	0.76166	0.00775	0.01450	-0.64774
0x50	 14:21:51.091	-0.0303	-0.0073	0.9648	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7605	67.13	-683	114	-299	0.76166	0.00775	0.01450	-0.64774
0x50	 14:21:51.160	-0.0308	-0.0059	0.9619	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7605	67.11	-680	115	-300	0.76166	0.00775	0.01450	-0.64774
0x50	 14:21:51.291	-0.0317	-0.0073	0.9604	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7605	67.12	-681	114	-298	0.76166	0.00775	0.01450	-0.64774
0x50	 14:21:51.307	-0.0322	-0.0083	0.9644	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7660	67.11	-680	112	-294	0.76166	0.00775	0.01450	-0.64774
0x50	 14:21:51.345	-0.0308	-0.0068	0.9634	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7715	67.12	-678	112	-295	0.76163	0.00775	0.01450	-0.64777
0x50	 14:21:51.460	-0.0293	-0.0083	0.9648	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7770	67.14	-678	111	-294	0.76160	0.00778	0.01450	-0.64780
0x50	 14:21:51.492	-0.0317	-0.0063	0.9624	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7825	67.16	-681	113	-297	0.76157	0.00775	0.01450	-0.64783
0x50	 14:21:51.530	-0.0303	-0.0078	0.9648	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7825	67.16	-678	113	-293	0.76154	0.00775	0.01450	-0.64786
0x50	 14:21:51.592	-0.0298	-0.0059	0.9668	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7825	67.14	-679	114	-297	0.76154	0.00775	0.01450	-0.64786
0x50	 14:21:51.676	-0.0308	-0.0059	0.9648	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7825	67.13	-677	111	-297	0.76154	0.00775	0.01450	-0.64786
0x50	 14:21:51.714	-0.0313	-0.0063	0.9653	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7880	67.13	-681	114	-297	0.76154	0.00775	0.01450	-0.64789
0x50	 14:21:51.761	-0.0308	-0.0068	0.9648	0.0000	0.0000	0.0000	-0.4010	1.8402	-80.7880	67.14	-677	117	-295	0.76151	0.00775	0.01450	-0.64792
0x50	 14:21:51.861	-0.0283	-0.0059	0.9653	0.0000	0.0000	0.0000	-0.4010	1.8402	-80.7825	67.12	-677	114	-297	0.76151	0.00775	0.01450	-0.64789
0x50	 14:21:51.908	-0.0308	-0.0073	0.9619	0.0000	0.0000	0.0000	-0.3955	1.8402	-80.7825	67.14	-679	113	-297	0.76157	0.00772	0.01450	-0.64786
0x50	 14:21:51.962	-0.0288	-0.0049	0.9648	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7825	67.11	-678	114	-295	0.76154	0.00772	0.01447	-0.64789
0x50	 14:21:52.008	-0.0293	-0.0063	0.9619	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7770	67.15	-680	115	-294	0.76157	0.00772	0.01447	-0.64786
0x50	 14:21:52.109	-0.0293	-0.0068	0.9653	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7770	67.16	-681	116	-296	0.76157	0.00772	0.01443	-0.64786
0x50	 14:21:52.115	-0.0322	-0.0059	0.9614	0.0000	0.0000	0.0000	-0.3900	1.8347	-80.7770	67.13	-679	114	-298	0.76157	0.00772	0.01443	-0.64783
0x50	 14:21:52.193	-0.0317	-0.0063	0.9644	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7715	67.13	-679	115	-295	0.76157	0.00775	0.01443	-0.64783
0x50	 14:21:52.294	-0.0303	-0.0059	0.9644	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7660	67.14	-678	113	-297	0.76160	0.00775	0.01447	-0.64780
0x50	 14:21:52.316	-0.0308	-0.0073	0.9590	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7715	67.15	-675	112	-297	0.76163	0.00775	0.01447	-0.64780
0x50	 14:21:52.380	-0.0293	-0.0098	0.9614	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7825	67.14	-680	112	-299	0.76160	0.00772	0.01443	-0.64780
0x50	 14:21:52.478	-0.0308	-0.0054	0.9629	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7825	67.14	-679	115	-299	0.76157	0.00772	0.01443	-0.64786
0x50	 14:21:52.494	-0.0303	-0.0044	0.9619	0.0000	0.0000	0.0000	-0.3955	1.8347	-80.7825	67.15	-681	112	-295	0.76154	0.00775	0.01447	-0.64789
0x50	 14:21:52.594	-0.0298	-0.0083	0.9595	0.0000	-0.0610	0.0610	-0.4010	1.8292	-80.7880	67.14	-680	113	-294	0.76154	0.00772	0.01447	-0.64789
0x50	 14:21:52.594	-0.0278	-0.0073	0.9580	0.0000	0.1221	0.0000	-0.4010	1.8237	-80.7880	67.14	-681	113	-292	0.76151	0.00766	0.01443	-0.64789
0x50	 14:21:52.679	-0.0308	-0.0078	0.9644	0.1221	0.1221	0.0000	-0.3955	1.8292	-80.7880	67.14	-677	114	-293	0.76151	0.00763	0.01437	-0.64792
0x50	 14:21:52.732	-0.0278	-0.0049	0.9609	0.0000	0.1831	0.0000	-0.3955	1.8402	-80.7880	67.15	-678	114	-295	0.76151	0.00769	0.01443	-0.64792
0x50	 14:21:52.817	-0.0313	-0.0068	0.9653	0.0610	0.3662	0.0000	-0.3900	1.8512	-80.7770	67.12	-676	115	-295	0.76154	0.00775	0.01447	-0.64789
0x50	 14:21:52.848	-0.0288	-0.0068	0.9614	0.0610	0.3662	0.0000	-0.3900	1.8622	-80.7715	67.14	-679	117	-295	0.76157	0.00784	0.01453	-0.64786
0x50	 14:21:52.948	-0.0347	-0.0083	0.9629	0.0000	0.0610	0.0000	-0.3900	1.8732	-80.7660	67.14	-682	112	-296	0.76160	0.00790	0.01462	-0.64780
0x50	 14:21:52.979	-0.0298	-0.0049	0.9609	0.0000	-0.1221	-0.0610	-0.3900	1.8787	-80.7715	67.17	-679	115	-297	0.76163	0.00800	0.01468	-0.64777
0x50	 14:21:53.064	-0.0288	-0.0078	0.9614	0.0000	0.0000	0.0000	-0.3900	1.8622	-80.7660	67.14	-681	116	-296	0.76163	0.00803	0.01468	-0.64780
0x50	 14:21:53.095	-0.0303	-0.0063	0.9600	0.0610	0.1831	0.0000	-0.3900	1.8677	-80.7715	67.17	-682	111	-297	0.76163	0.00793	0.01459	-0.64777
0x50	 14:21:53.164	-0.0303	-0.0063	0.9644	0.0610	0.1221	0.0000	-0.3845	1.8787	-80.7770	67.14	-682	113	-293	0.76160	0.00797	0.01462	-0.64780
0x50	 14:21:53.218	-0.0347	-0.0093	0.9644	0.0000	0.1221	0.0000	-0.3845	1.8896	-80.7825	67.15	-683	113	-296	0.76157	0.00806	0.01468	-0.64786
0x50	 14:21:53.318	-0.0298	-0.0059	0.9639	0.0000	0.0610	0.0000	-0.3845	1.8896	-80.7880	67.13	-677	115	-294	0.76154	0.00809	0.01474	-0.64789
0x50	 14:21:53.334	-0.0342	-0.0044	0.9644	0.0000	0.0000	0.0000	-0.3845	1.8896	-80.7825	67.15	-676	115	-295	0.76151	0.00812	0.01477	-0.64789
0x50	 14:21:53.465	-0.0303	-0.0034	0.9639	0.0000	-0.0610	0.0000	-0.3790	1.8896	-80.7770	67.16	-680	115	-297	0.76154	0.00812	0.01477	-0.64789
0x50	 14:21:53.480	-0.0303	-0.0083	0.9634	0.0000	0.0000	0.0610	-0.3790	1.8842	-80.7770	67.15	-680	116	-299	0.76157	0.00815	0.01474	-0.64786
0x50	 14:21:53.512	-0.0293	-0.0073	0.9629	0.0610	0.0610	0.0000	-0.3790	1.8896	-80.7715	67.14	-679	115	-296	0.76157	0.00812	0.01468	-0.64783
0x50	 14:21:53.580	-0.0293	-0.0059	0.9609	0.0610	0.1221	0.0000	-0.3790	1.8951	-80.7770	67.14	-679	112	-295	0.76160	0.00815	0.01474	-0.64783
0x50	 14:21:53.618	-0.0332	-0.0083	0.9658	0.0000	0.1221	0.0000	-0.3735	1.9061	-80.7770	67.14	-682	115	-298	0.76157	0.00818	0.01474	-0.64783
0x50	 14:21:53.718	-0.0303	-0.0044	0.9648	0.0000	0.0000	-0.0610	-0.3735	1.9061	-80.7770	67.14	-679	115	-297	0.76157	0.00827	0.01480	-0.64783
0x50	 14:21:53.750	-0.0313	-0.0073	0.9624	0.0000	-0.1221	0.0000	-0.3735	1.8951	-80.7770	67.15	-680	113	-294	0.76157	0.00827	0.01480	-0.64783
0x50	 14:21:53.819	-0.0288	-0.0083	0.9624	0.0000	0.0000	0.0000	-0.3735	1.8951	-80.7770	67.15	-680	112	-295	0.76157	0.00821	0.01474	-0.64783
0x50	 14:21:53.912	-0.0317	-0.0078	0.9644	0.0000	0.1221	0.0000	-0.3680	1.8896	-80.7825	67.14	-680	112	-296	0.76157	0.00818	0.01471	-0.64786
0x50	 14:21:53.935	-0.0332	-0.0083	0.9619	0.0000	0.1221	-0.0610	-0.3735	1.9061	-80.7880	67.14	-680	114	-298	0.76154	0.00821	0.01468	-0.64786
0x50	 14:21:54.066	-0.0298	-0.0063	0.9619	0.0000	0.0610	0.0610	-0.3735	1.9061	-80.7935	67.14	-679	113	-296	0.76151	0.00827	0.01480	-0.64792
