StartTime: 2022-01-18 16:40:42.348
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 16:40:42.348	0.1489	1.0137	1.8633	-0.0610	0.0000	0.0000	28.1250	-3.9386	-2.8070	32.66	-932	123	-224
0x50	 16:40:42.402	0.1489	1.0146	1.8652	0.0000	-0.0610	0.0000	28.1250	-3.9386	-2.8125	32.67	-933	124	-223
0x50	 16:40:42.422	0.1494	1.0137	1.8647	0.0000	0.0000	0.0000	28.1250	-3.9386	-2.8125	32.66	-930	123	-224
0x50	 16:40:42.485	0.1484	1.0137	1.8647	0.0000	0.0000	0.0610	28.1305	-3.9386	-2.8180	32.66	-931	122	-223
0x50	 16:40:42.532	0.1494	1.0161	1.8652	0.0000	-0.0610	0.0610	28.1305	-3.9386	-2.8180	32.66	-933	125	-224
0x50	 16:40:42.563	0.1489	1.0156	1.8652	0.0000	0.0000	0.0610	28.1305	-3.9386	-2.8125	32.67	-931	125	-226
0x50	 16:40:42.638	0.1504	1.0137	1.8662	-0.0610	0.0000	0.0000	28.1360	-3.9386	-2.8180	32.67	-929	125	-223
0x50	 16:40:42.670	0.1489	1.0132	1.8647	-0.1221	0.0000	0.0000	28.1305	-3.9386	-2.8180	32.66	-929	121	-225
0x50	 16:40:42.747	0.1499	1.0142	1.8643	0.0000	0.0000	0.0000	28.1305	-3.9386	-2.8235	32.64	-930	122	-226
0x50	 16:40:42.780	0.1489	1.0151	1.8633	-0.0610	0.0000	-0.0610	28.1360	-3.9386	-2.8180	32.66	-929	125	-224
0x50	 16:40:42.821	0.1489	1.0142	1.8662	-0.0610	-0.0610	0.0000	28.1360	-3.9386	-2.8180	32.67	-927	124	-225
0x50	 16:40:42.885	0.1499	1.0146	1.8633	0.0000	-0.0610	0.0000	28.1360	-3.9386	-2.8180	32.65	-929	124	-226
0x50	 16:40:42.916	0.1494	1.0137	1.8647	0.0000	0.0000	0.0000	28.1360	-3.9386	-2.8180	32.66	-929	128	-222
0x50	 16:40:42.948	0.1494	1.0156	1.8662	0.0000	0.0000	0.0000	28.1360	-3.9386	-2.8125	32.66	-928	127	-223
0x50	 16:40:43.023	0.1494	1.0137	1.8643	0.0000	0.0000	0.0000	28.1360	-3.9386	-2.8125	32.66	-926	123	-225
0x50	 16:40:43.070	0.1489	1.0151	1.8643	0.0000	0.0000	0.0000	28.1415	-3.9386	-2.8070	32.67	-927	126	-224
0x50	 16:40:43.134	0.1494	1.0142	1.8672	0.0000	0.0000	0.0000	28.1415	-3.9386	-2.8070	32.66	-931	124	-225
0x50	 16:40:43.179	0.1484	1.0156	1.8667	0.0000	0.0000	0.0000	28.1470	-3.9331	-2.8070	32.67	-932	122	-225
